Athlete Name,Contingent,Home Town,Type Name,Sports Name
Ainslee Tolentino,Manitoba,Winnipeg,Athlete,Judo
Emma Tom Tom,Yukon,Dawson City,Athlete,Archery
Bryn Topham,Alberta,Calgary,Athlete,Gymnastics
James Toth,British Columbia,Richmond,Athlete,Squash
Emilie Townsend,Nova Scotia,"Middleton, NS",Athlete,Judo
Drew Trainor,Prince Edward Island,Stratford,Athlete,Snowboard
Jeremy Tran,Manitoba,Winnipeg,Athlete,Table Tennis
Gabriel Tremblay,Quebec,Chicoutimi,Athlete,Boxing
Keegan Tremblay,Ontario,Thunder Bay,Athlete,Biathlon
Connor Trenholm,Nova Scotia,Cole Harbour,Athlete,Hockey
Keeyan Trotman,Ontario,LONDON,Athlete,Boxing
Kari Trott,British Columbia,Port Alberni,Athlete,Figure Skating
Branden Troutman,Alberta,Lloydminster,Athlete,Wheelchair Basketball
Charle Truchon,Quebec,,Athlete,Hockey
Simon Trudeau,Quebec,Lachine,Athlete,Alpine Skiing
Lasha Tsatsalashvili,Ontario,Toronto,Athlete,Judo
Sean Tschigerl,Alberta,"Whitecourt, Alberta",Athlete,Hockey
Jon Tu,Saskatchewan,Saskatoon,Athlete,Badminton
Ella Ruth Tucker,Newfoundland and Labrador,Corner Brook,Athlete,Cross Country Skiing
Jake Tucker,Yukon,Whitehorse,Athlete,Table Tennis
Rio A Tucker,Saskatchewan,North Battleford,Athlete,Snowboard
Sophie Tulk,Newfoundland and Labrador,"St. Philips, NL",Athlete,Squash
Findlay Tulloch,Nova Scotia,Bedford,Athlete,Speed Skating
Meredith Tulloch,Nova Scotia,,Athlete,Ringette
Dylan Tully,Manitoba,Winnipeg,Athlete,Judo
Ben Tumack,Alberta,Edmonton,Athlete,Wheelchair Basketball
Matthew Turcotte,Quebec,St-Charles-Borromée,Athlete,Archery
Mac Turner,Ontario,"Gore Bay, Ontario",Athlete,Biathlon
Ryder Twardochleb,Yukon,"Whitehorse, Yukon",Athlete,Hockey
Eliana Tzaneteas,Nova Scotia,Halifax,Athlete,Alpine Skiing
Kai Uchacz,Alberta,Okotoks,Athlete,Hockey
Hunter Ullett,Manitoba,Winnipeg,Athlete,Speed Skating
Sam Ulrich,Manitoba,winnipeg,Athlete,Judo
Brayden Uluqsi,Nunavut,Rankin Inlet,Athlete,Hockey
Ashton Underhill,Yukon,Whitehorse,Athlete,Hockey
Amy Upton,Quebec,Vaudreuil-Dorion,Athlete,Curling
Paula Urquidi,British Columbia,Langley,Athlete,Gymnastics
Adam Usher,British Columbia,"North Vancouver, BC",Athlete,Alpine Skiing
Jennifer Rachel Grace Utendale,British Columbia,White Rock,Athlete,Figure Skating
Kiah Vail,Northwest Territories,,Athlete,Hockey
Sandrine Vaillancourt,Quebec,Drummondville,Athlete,Freestyle Skiing
Aleksas Valadka,Ontario,Oakville,Athlete,Alpine Skiing
Brooke Valancius,British Columbia,New Westminster,Athlete,Ringette
Ryli Vallière,Ontario,London,Athlete,Archery
Nick van Bakel,British Columbia,Pender Island,Athlete,Wheelchair Basketball
Abbey Van Duzer,Ontario,Guelph,Athlete,Alpine Skiing
Alexi Van Houtte-Cachero,Quebec,Pointe-Claire,Athlete,Hockey
Brett Van Nieuw Amerongen,Manitoba,La Salle,Athlete,Ringette
Julie Vandal,Quebec,Gatineau,Athlete,Ringette
Erik Vandersanden,Ontario,Oshawa,Athlete,Judo
Wesley Vangel,Yukon,Whitehorse,Athlete,Alpine Skiing
Carmen VanWychen,Nova Scotia,Middle Musquodoboit,Athlete,Table Tennis
Luke Vardy,Nova Scotia,"Hammonds Plains, NS",Athlete,Hockey
Natasia Varieur,Ontario,Huntsville,Athlete,Biathlon
Joelle Adriana Vega,Quebec,Charlottetown,Athlete,Squash
Audrey Veilleux,Quebec,"Saint-Jérôme,QC",Athlete,Artistic Swimming
Piaper Veinotte,Quebec,Chelsea,Athlete,Biathlon
Igor Velicico,Quebec,MOLDAVIE,Athlete,Gymnastics
Kobe Verbicky,British Columbia,Bowser,Athlete,Hockey
Victoria Verrelli,Quebec,Burnaby BC,Athlete,Figure Skating
Scott Verschoor,New Brunswick,Sussex,Athlete,Speed Skating
Rebecca Villa,Manitoba,Winnipeg,Athlete,Judo
Devin Vogel,Northwest Territories,yellowknife,Athlete,Hockey
Garren Voisey,Nunavut,Whale Cove,Athlete,Hockey
Oliver von Kursell,Nova Scotia,Halifax,Athlete,Freestyle Skiing
Isaac Vos,Prince Edward Island,,Athlete,Hockey
Reid Alan Vos,Prince Edward Island,,Athlete,Hockey
Eric Voss,Ontario,St Marys Ontario,Athlete,Wheelchair Basketball
Jordy Voykin,Saskatchewan,Saskatoon,Athlete,Ringette
Keagan Waddington,Saskatchewan,,Athlete,Speed Skating
Dylan Wade,New Brunswick,Moncton,Athlete,Squash
Joelle Wade,New Brunswick,Moncton,Athlete,Squash
Imran Wadia,Alberta,Calgary,Athlete,Badminton
Kiera Wai,Ontario,Toronto,Athlete,Gymnastics
Naomi Walch,Alberta,Calgary,Athlete,Biathlon
Alix Walchuk,Yukon,Whitehorse,Athlete,Hockey
Paige Walfield,Prince Edward Island,Summerside,Athlete,Judo
Amanda Paige Walker,Saskatchewan,Saskatoon,Athlete,Gymnastics
Emily Elizabeth Walker,Saskatchewan,Saskatoon,Athlete,Gymnastics
Kiersten Walker,Nova Scotia,,Athlete,Ringette
Ben Wallace,Alberta,Calgary,Athlete,Alpine Skiing
Hunter Wallace,Manitoba,"Oak Lake, MB",Athlete,Hockey
Stefanie Wallace,British Columbia,Vancouver,Athlete,Hockey
Jacob Walper,British Columbia,,Athlete,Snowboard
Maddy Walsh,Nova Scotia,Hammonds Plains,Athlete,Hockey
Nolan Walsh,Newfoundland and Labrador,"Happy Valley Goose Bay, NL",Athlete,Judo
Tia Wamboldt,Nova Scotia,"Bridgewater, Nova Scotia",Athlete,Gymnastics
Annie Wang,British Columbia,Maple Ridge,Athlete,Artistic Swimming
Desmond Wang,Alberta,Edmonton,Athlete,Badminton
Steve Wang,British Columbia,NORTH VANCOUVER,Athlete,Table Tennis
Takeisha Wang,Alberta,Edmonton,Athlete,Badminton
Colin Ward,Nova Scotia,Mahone Bay,Athlete,Cross Country Skiing
Brianna Ware,Quebec,,Athlete,Hockey
Hugh Warkentin,Newfoundland and Labrador,Corner Brook,Athlete,Cross Country Skiing
Aaron Warkentine,Manitoba,"Winkler, Manitoba",Athlete,Cross Country Skiing
Tessa Warkentine,Manitoba,Winkler MB,Athlete,Cross Country Skiing
Nicholas Warkman,Alberta,Turner Valley,Athlete,Curling
Jade Warren,Ontario,Ottawa,Athlete,Artistic Swimming
Karlee Warren,Newfoundland and Labrador,Robert's Arm,Athlete,Table Tennis
Sarah Warren,Newfoundland and Labrador,Robert's Arm,Athlete,Table Tennis
Scout Watkins Southward,Ontario,Kingston,Athlete,Hockey
Brooklyn Sheila Marie Watkins,Newfoundland and Labrador,Botwood,Athlete,Figure Skating
Dustin Watson,Ontario,Selwyn,Athlete,Archery
Alex Watters,Nova Scotia,Williamswood,Athlete,Gymnastics
Brennan Connor Webb,New Brunswick,Riverview,Athlete,Figure Skating
Dakota Florence Webb,British Columbia,Victoria,Athlete,Judo
Abby Webster,Northwest Territories,Hay River,Athlete,Hockey
Lily Weidemann,Ontario,Ottawa,Athlete,Speed Skating
Nathan Gordon Weiman,Saskatchewan,Regina,Athlete,Cross Country Skiing
Ben Weingust,Ontario,Toronto,Athlete,Alpine Skiing
Makenna Weir,Saskatchewan,Regina,Athlete,Biathlon
Rachel Weiss,Alberta,Calgary,Athlete,Hockey
Izzy Weist,Newfoundland and Labrador,Torbay,Athlete,Hockey
Kate Weldon,New Brunswick,,Athlete,Artistic Swimming
Chantel Weller,Saskatchewan,Saskatoon,Athlete,Hockey
Chase Wellon,Newfoundland and Labrador,Conception bay south,Athlete,Hockey
Sam Wellon,Newfoundland and Labrador,Gander,Athlete,Judo
Alex Wells,Newfoundland and Labrador,Torbay,Athlete,Wheelchair Basketball
Elizabeth Evelyn C Welsh,Nova Scotia,Bedford,Athlete,Ringette
Zach Welsh,Nova Scotia,Halifax,Athlete,Hockey
Fidel Wendt,Prince Edward Island,,Athlete,Cross Country Skiing
Zora Wendt,Prince Edward Island,Breadalbane,Athlete,Biathlon
Zora Wendt,Prince Edward Island,Breadalbane,Athlete,Cross Country Skiing
Cleo Wermann-Thorn,Manitoba,Winnipeg,Athlete,Archery
Kiera Westlake,Alberta,Lethbridge,Athlete,Judo
Marcus Jeremy Wheaton,New Brunswick,Fredericton NB,Athlete,Judo
Maddi Wheeler,Ontario,Erinsville,Athlete,Hockey
Marla Wheeler,Alberta,"Dalemead, Alberta",Athlete,Ringette
Deanne Whenham,Northwest Territories,Yellowknife,Athlete,Hockey
Hunter Chad White,Newfoundland and Labrador,,Athlete,Squash
Kal White,Prince Edward Island,Charlottetown,Athlete,Hockey
Morgan Brooke White,Newfoundland and Labrador,,Athlete,Squash
Rory White,Nova Scotia,Fall River,Athlete,Badminton
Sam White,Nova Scotia,Wellington,Athlete,Badminton
Maddie Whitten,Ontario,toronto,Athlete,Artistic Swimming
Cam Whynot,Nova Scotia,"Kentville, NS",Athlete,Hockey
Emma Wicks,Northwest Territories,Yellowknife,Athlete,Hockey
Rya Wiebe,Saskatchewan,Martensville,Athlete,Gymnastics
Lily Wilberforce,Ontario,Waterloo,Athlete,Figure Skating
Kaitlyn Wiley,Alberta,Red Deer,Athlete,Archery
Jessica Willcott,Newfoundland and Labrador,St.Alban’s,Athlete,Badminton
Aiden John Williams,Prince Edward Island,Tyne Valley,Athlete,Hockey
Fin Williams,British Columbia,North Vancouver,Athlete,Hockey
Ian Williams,British Columbia,"Kelowna, BC",Athlete,Cross Country Skiing
Will Williams,Newfoundland and Labrador,St. Philips,Athlete,Hockey
Akutaq Williamson Bathory,Nunavut,"Iqaluit, Nunavut",Athlete,Speed Skating
Abby Williamson,British Columbia,Vernon BC,Athlete,Ringette
Megan Charline Williston,New Brunswick,Moncton,Athlete,Ringette
Brayden Willmott,Ontario,Collingwood,Athlete,Freestyle Skiing
Elyssa Willmott,Ontario,Collingwood,Athlete,Freestyle Skiing
Hayden Wilm,Saskatchewan,Central Butte,Athlete,Hockey
Leif Wilson,British Columbia,North Van,Athlete,Freestyle Skiing
Sean Michael Wilson,New Brunswick,,Athlete,Wheelchair Basketball
Reece Wilson-Poyton,Ontario,St. Catharines,Athlete,Archery
Matthew Wilton,Manitoba,Winnipeg,Athlete,Wheelchair Basketball
Ty Winsor,Newfoundland and Labrador,Roberts Arm,Athlete,Table Tennis
Jordan Winter,Newfoundland and Labrador,St. John's,Athlete,Hockey
Frances Winters,New Brunswick,Moncton,Athlete,Ringette
Lucy Wolfe,New Brunswick,Saint John,Athlete,Speed Skating
Bryn Woloshyn,British Columbia,,Athlete,Curling
Jenna Wolsey,Alberta,Calgary,Athlete,Ringette
Maximus Wolsynuk,Yukon,Whitehorse,Athlete,Hockey
Brendan Wong,British Columbia,Burnaby,Athlete,Figure Skating
Carol-Jean Wong,Manitoba,,Athlete,Table Tennis
Jenna Wong,British Columbia,Surrey,Athlete,Badminton
Tobiah Wong,Alberta,Edmonton,Athlete,Figure Skating
Trevor Wong,British Columbia,vancouver,Athlete,Hockey
David Wood,British Columbia,Whistler,Athlete,Alpine Skiing
Braeden Woodford,Prince Edward Island,,Athlete,Judo
Lindsey Woodford,Northwest Territories,Yellowknife,Athlete,Gymnastics
Ryan Gary Mori Woodhead,British Columbia,Tsawwassen,Athlete,Gymnastics
Hannah Woodman,British Columbia,Surrey,Athlete,Ringette
Kaleb Woodworth,Saskatchewan,North Battleford,Athlete,Snowboard
Kyle Woodworth,Nova Scotia,Berwick,Athlete,Snowboard
Emmett Workman,Nova Scotia,Halifax,Athlete,Squash
Colby Wotton,Manitoba,Foxwarren,Athlete,Hockey
Sarah Wozniewicz,Alberta,Cochrane,Athlete,Hockey
Aidan Wright,Ontario,"Kitchener, Ontario",Athlete,Figure Skating
Jackson Wright,Saskatchewan,SASKATOON,Athlete,Speed Skating
Shane Wright,Ontario,Burlington,Athlete,Hockey
Jin Wu,Ontario,Saskatoon,Athlete,Table Tennis
Rori Wulff,Alberta,canmore ab,Athlete,Snowboard
Claire Wyville,Ontario,Morriston,Athlete,Ringette
Joey Xi,Saskatchewan,,Athlete,Table Tennis
Angela Xu,New Brunswick,Saint Andrews,Athlete,Speed Skating
David Xu,Ontario,oakville,Athlete,Table Tennis
Tommy Xu,Quebec,,Athlete,Table Tennis
Brendan Yamada,Alberta,Calgary,Athlete,Speed Skating
Chandria Yang,Saskatchewan,"Regina, Saskatchewan",Athlete,Ringette
Natalie Kassandra Yee,British Columbia,"Vancouver, B.C",Athlete,Badminton
Jordyn Yendley,British Columbia,Kelowna,Athlete,Gymnastics
Caitlyn Yip,Manitoba,Winnipeg,Athlete,Gymnastics
Maxine Yip,Manitoba,Winnipeg,Athlete,Artistic Swimming
Clare Youden,Newfoundland and Labrador,,Athlete,Cross Country Skiing
Ethan Young,Nova Scotia,Hammonds Plains,Athlete,Curling
Jake Young,Newfoundland and Labrador,woddy point bonne bay,Athlete,Badminton
Jane Young,Newfoundland and Labrador,Torbay,Athlete,Gymnastics
Justin Young,Newfoundland and Labrador,woddy point bonne bay,Athlete,Badminton
Katie Young,British Columbia,Quesnel,Athlete,Ringette
Keagan Young,Ontario,Markham,Athlete,Judo
Lochlan Gary Young,British Columbia,Prince George,Athlete,Judo
Molly Young,Alberta,Calgary,Athlete,Speed Skating
Nathan Young,Newfoundland and Labrador,Torbay,Athlete,Curling
Hailey Yu,British Columbia,Burnaby BC,Athlete,Figure Skating
Sam Yuan,Prince Edward Island,"Guang Dong, China",Athlete,Badminton
Daryl Yuen,British Columbia,vancouver,Athlete,Cross Country Skiing
Gabriel Yun,British Columbia,Richmond,Athlete,Squash
Nathan Yvars,Quebec,Laval,Athlete,Gymnastics
Moe Zawadi,Ontario,Barrie,Athlete,Boxing
Olen Zellweger,Alberta,Fort Saskatchewan,Athlete,Hockey
Katie Zember,Prince Edward Island,,Athlete,Biathlon
Eliana Ruobing Zhang,Quebec,,Athlete,Badminton
Wendy Zhang,British Columbia,,Athlete,Badminton
Daniel Zhao,Prince Edward Island,Toronto,Athlete,Table Tennis
Alex Zheng,Prince Edward Island,,Athlete,Badminton
Danny Zhilkin,Ontario,Mississauga,Athlete,Hockey
Cathy Zhong,British Columbia,Richmond,Athlete,Gymnastics
Benita Zhou,British Columbia,Vancouver,Athlete,Table Tennis
Katherine Zhu,Prince Edward Island,,Athlete,Badminton
Nina Zigic,Manitoba,Winnipeg,Athlete,Judo
Max Zimmermann,Yukon,Whitehorse,Athlete,Hockey
Katie Zipp,Alberta,"Edmonton, Alberta",Athlete,Ringette
Will Znidarec,Manitoba,Winnipeg,Athlete,Squash
Nolan Zurek,Alberta,Edmonton,Athlete,Gymnastics
